,predicted,position,first_name,second_name,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,influence,creativity,threat
282,MID,MID,Pascal,Groß,5.6,85,1462,6,3,4,2,0,10,435.4,518.2,323.0
301,DEF,DEF,William,Saliba,5.3,84,1515,2,1,8,4,0,13,350.2,51.5,103.0
238,MID,MID,Leandro,Trossard,6.8,83,1316,7,3,4,1,0,5,384.8,355.8,673.0
184,MID,MID,Rodrigo,Moreno,6.3,82,1084,9,1,3,2,0,6,377.2,160.2,603.0
228,FWD,FWD,Aleksandar,Mitrović,7.1,81,1283,11,2,5,5,0,11,467.2,176.9,933.0
305,DEF,DEF,Gabriel,dos Santos Magalhães,5.2,80,1530,2,0,8,3,0,9,372.2,39.4,225.0
145,DEF,MID,Phil,Foden,8.2,78,925,7,4,2,1,0,6,406.2,379.0,452.0
187,MID,MID,James,Maddison,8.0,77,1098,7,4,4,5,0,6,432.8,424.5,429.0
254,DEF,DEF,Benjamin,White,4.7,76,1374,0,2,9,3,0,7,285.6,228.9,43.0
324,GK,GK,David,Raya Martin,4.6,76,1620,0,0,5,0,0,9,574.8,10.1,0.0
298,GK,GK,Dean,Henderson,4.7,75,1506,0,0,5,2,0,11,462.4,0.0,0.0
242,DEF,DEF,Sven,Botman,4.4,73,1327,0,1,9,0,0,4,246.4,69.4,149.0
294,DEF,DEF,Dan,Burn,4.5,72,1494,0,0,10,2,0,1,245.4,79.4,124.0
307,GK,GK,Alisson,Ramses Becker,5.5,72,1530,0,1,4,0,0,7,517.2,10.1,0.0
283,DEF,MID,Pierre-Emile,Højbjerg,5.5,71,1466,4,2,4,1,0,9,423.6,259.7,155.0
193,DEF,DEF,João,Cancelo,7.3,71,1138,2,2,6,3,1,10,261.4,242.8,252.0
308,GK,GK,David,De Gea Quintana,4.9,71,1530,0,0,8,0,0,2,376.0,10.0,0.0
270,DEF,MID,Granit,Xhaka,5.1,71,1436,3,4,7,3,0,7,346.6,360.2,286.0
239,DEF,MID,Eberechi,Eze,5.6,70,1317,3,3,5,0,0,9,272.2,396.1,251.0
285,MID,MID,Andreas,Hoelgebaum Pereira,4.6,70,1472,2,6,4,3,0,6,274.8,635.5,253.0
253,MID,MID,Wilfried,Zaha,7.3,70,1372,6,2,4,3,0,6,362.4,239.3,518.0
280,MID,MID,Solly,March,5.0,69,1452,2,5,5,2,0,7,324.8,356.5,491.0
314,GK,GK,José,Malheiro de Sá,5.0,69,1575,0,0,4,0,0,6,428.6,0.0,0.0
306,GK,GK,Aaron,Ramsdale,4.9,69,1530,0,0,8,0,0,3,288.4,0.0,0.0
216,FWD,FWD,Gabriel,Fernando de Jesus,8.0,69,1220,5,6,7,4,0,7,378.0,281.1,884.0
146,DEF,FWD,Roberto,Firmino,8.0,69,928,7,3,3,0,0,9,400.0,241.9,642.0
281,DEF,DEF,Timothy,Castagne,4.7,68,1461,1,2,7,1,0,7,336.6,225.0,193.0
244,MID,MID,Harvey,Barnes,6.8,67,1336,6,0,6,0,0,0,267.4,109.3,525.0
323,GK,GK,Danny,Ward,4.1,66,1620,0,0,6,0,0,9,430.4,0.0,0.0
287,DEF,DEF,Ben,Mee,4.6,66,1478,2,1,5,1,0,6,372.4,31.2,135.0
319,MID,MID,Alex,Iwobi,5.5,66,1602,1,6,4,2,0,5,345.4,406.5,145.0
274,GK,GK,Bernd,Leno,4.5,65,1440,0,0,4,1,0,11,518.2,10.0,0.0
249,MID,MID,Joe,Willock,4.9,65,1345,2,2,9,0,0,6,272.0,248.1,382.0
195,DEF,MID,Bernardo,Veiga de Carvalho e Silva,6.8,65,1153,2,6,5,2,0,6,297.8,317.2,264.0
205,DEF,MID,Mason,Mount,7.6,65,1191,3,3,5,2,0,8,292.6,339.8,331.0
219,DEF,MID,Christian,Eriksen,6.3,64,1246,1,6,7,2,0,5,273.0,343.6,205.0
229,DEF,MID,Alexis,Mac Allister,5.4,63,1284,5,0,4,4,0,11,347.0,236.7,183.0
272,MID,MID,Bruno,Borges Fernandes,9.8,63,1439,2,4,8,5,0,6,354.6,610.0,422.0
284,GK,GK,Lukasz,Fabianski,5.0,63,1469,0,0,3,0,0,7,376.6,0.0,0.0
234,MID,MID,Philip,Billing,5.2,63,1310,4,1,4,2,0,5,330.4,148.6,207.0
176,DEF,DEF,Luke,Shaw,5.0,62,1053,1,2,6,3,0,10,237.4,243.7,67.0
225,MID,MID,Bruno,Guimarães Rodriguez Moura,5.7,62,1263,3,3,9,3,0,3,339.8,264.2,143.0
250,FWD,FWD,Dominic,Solanke,5.7,62,1345,3,5,4,1,0,6,244.6,116.0,446.0
227,MID,MID,Marcus,Tavernier,4.8,61,1283,2,4,4,1,0,6,280.6,265.9,297.0
237,MID,MID,Kiernan,Dewsbury-Hall,4.9,61,1314,2,3,6,1,0,5,259.8,339.2,164.0
275,GK,GK,Ederson,Santana de Moraes,5.4,61,1440,0,1,6,0,0,3,272.4,13.1,0.0
302,GK,GK,Robert,Sánchez,4.6,61,1530,0,0,4,1,0,7,371.4,0.0,0.0
190,MID,MID,Raheem,Sterling,9.7,60,1107,4,2,4,3,0,6,242.0,314.3,391.0
291,DEF,MID,Rúben,da Silva Neves,5.5,60,1485,4,0,4,7,0,10,417.6,181.0,196.0
252,MID,MID,Morgan,Gibbs-White,5.5,60,1371,2,3,5,2,0,7,221.6,391.6,295.0
266,MID,MID,Bobby,De Cordova-Reid,5.5,59,1421,4,1,5,6,0,3,283.0,214.6,375.0
236,DEF,FWD,Che,Adams,6.3,59,1310,4,2,1,0,0,5,245.2,237.5,453.0
304,GK,GK,Jordan,Pickford,4.5,59,1530,0,1,3,3,0,6,547.4,23.0,0.0
248,FWD,FWD,Bryan,Mbeumo,5.8,59,1345,4,2,4,4,0,6,244.8,304.9,462.0
288,GK,GK,Vicente,Guaita,4.5,59,1485,0,0,4,1,0,6,393.8,0.0,0.0
201,DEF,MID,Rodrigo,Bentancur,5.4,59,1183,4,2,4,5,0,7,407.2,151.5,190.0
255,DEF,MID,Youri,Tielemans,6.3,58,1376,3,1,5,1,0,5,367.8,316.2,154.0
213,MID,MID,Daniel,Castelo Podence,5.3,58,1214,4,1,3,4,0,6,226.8,340.9,418.0
223,MID,MID,Son,Heung-min,11.6,58,1255,3,2,4,0,0,3,280.8,409.8,484.0
290,DEF,DEF,Virgil,van Dijk,6.5,58,1485,2,0,4,1,0,4,365.2,49.2,230.0
318,DEF,MID,James,Ward-Prowse,6.2,58,1596,3,2,1,2,0,6,361.6,531.5,125.0
261,FWD,FWD,Ollie,Watkins,7.1,58,1396,3,4,4,1,0,3,270.2,207.2,612.0
295,MID,MID,Demarai,Gray,5.3,57,1499,3,0,4,1,0,4,259.4,378.1,453.0
312,MID,MID,Jarrod,Bowen,8.0,57,1567,2,3,3,1,0,3,229.8,327.0,595.0
289,GK,GK,Hugo,Lloris,5.5,57,1485,0,0,4,0,0,7,331.0,0.0,0.0
131,DEF,FWD,Callum,Wilson,7.2,56,879,6,3,7,3,0,3,239.6,124.4,421.0
322,DEF,DEF,Tim,Ream,4.5,56,1617,1,0,5,1,0,7,357.6,19.0,68.0
241,MID,MID,Mathias,Jensen,4.8,56,1324,1,5,4,3,0,3,258.4,375.8,82.0
103,MID,MID,Yoane,Wissa,5.3,55,749,4,2,1,1,0,4,195.0,82.1,222.0
218,DEF,DEF,Trent,Alexander-Arnold,7.3,55,1241,1,3,2,2,0,9,308.0,538.5,150.0
269,DEF,DEF,Conor,Coady,5.0,55,1430,1,1,4,1,0,5,303.2,54.4,78.0
292,GK,GK,Illan,Meslier,4.5,55,1486,0,0,3,1,0,7,429.6,0.0,0.0
178,DEF,DEF,Andrew,Robertson,6.9,54,1055,0,5,2,0,0,7,272.4,465.2,119.0
194,DEF,MID,Douglas Luiz,Soares de Paulo,4.8,54,1142,2,3,4,1,1,6,269.4,243.8,117.0
170,MID,MID,Leon,Bailey,4.5,54,1020,3,2,4,4,0,4,196.0,208.5,271.0
